"","EE--","L4--","YA_female--","YA_male--"
"WBGene00138726",-1.69958363851393,1.13910851926791,0.0485106703188786,-0.802987069801062
"WBGene00138727",-0.831633805639175,0.484921592357315,-1.3154316104791,2.81418559899177
"WBGene00138728",2.52838469007091,-1.07426388820421,-3.54608476198388,-3.54608476198388
"WBGene00138729",4.83147587719927,-3.54608476198388,-3.54608476198388,-3.54608476198388
"WBGene00138731",-3.54608476198388,0.83900305145553,-3.54608476198388,-2.26883444669534
"WBGene00138732",3.17627974779512,-2.11030249450788,3.39507224697608,1.02560740496015
"WBGene00138733",-3.54608476198388,-0.210534318051547,-3.54608476198388,5.06009118944791
"WBGene00138734",-1.55797632334384,1.83390697429651,-1.05632856271583,-1.60215157093195
"WBGene00138737",3.29771020189655,4.42934685700113,2.5303536630465,4.80095457096683
"WBGene00138739",1.78715782085839,0.799212180080944,0.736897689586755,0.241963222737029
"WBGene00138742",-3.54608476198388,-1.31502383206748,1.73405527556049,-0.524813084880452
"WBGene00138743",4.24143332997256,5.82168444533766,5.1877724738916,6.65485131082325
"WBGene00138744",6.61204113463291,2.30798417156494,4.32235658631232,3.46669533779559
"WBGene00138746",6.99838134803729,7.27548379663836,7.18757769883459,7.05466885994621
"WBGene00138747",6.61531552739016,3.62912462998402,3.79078497836018,3.20589353385246
"WBGene00138748",-2.74551301103543,4.76505123015182,6.32484984177047,6.03160554005973
"WBGene00138749",-3.09096601514301,1.59918418307412,-3.54608476198388,3.31593300525295
"WBGene00138751",5.17490006122846,4.20980774315622,4.25824775357257,3.57394865666157
"WBGene00138752",5.53938616203913,8.2419591811811,9.5410263566654,8.27520649412191
"WBGene00138753",1.60338981610031,4.29631971601986,1.34262670889231,1.99495007795288
"WBGene00138754",-1.09963063193276,-2.45059320537259,0.736897689586755,1.18877574527002
"WBGene00138755",7.8171515005616,5.14231548483871,7.49312757433525,7.76590303069211
"WBGene00138756",-1.69958363851393,0.558271810224704,-3.54608476198388,2.76329372879652
"WBGene00138757",0.472435574229542,-2.89676418778045,-2.03677803440828,-3.54608476198388
"WBGene00138758",-1.3106774049803,9.6562777299079,7.83478631339249,6.83815109137663
"WBGene00138760",-0.134212953198643,3.86180776500941,3.02655236435979,2.31066774861193
"WBGene00138761",6.3111145133645,5.76987242372586,5.2095103688998,4.80724899704713
"WBGene00138763",6.19648781446561,5.84018459608237,5.75902479072284,5.31986937541746
"WBGene00138764",-0.915553730210587,1.29028503662224,0.515451496473938,2.2747800709516
"WBGene00138765",1.12515833446543,2.8798476762176,3.41659207952672,3.8548319520385
"WBGene00138766",-3.54608476198388,1.86314814520447,1.4298700013278,1.5305860827778
"WBGene00138767",-2.03285772412421,4.57636926537317,-2.03677803440828,-1.60215157093195
"WBGene00138768",4.25349211183769,5.30919825995572,5.59647330273137,4.37896632771944
"WBGene00138770",-2.74551301103543,2.34990187183902,-0.836750827762618,-3.54608476198388
"WBGene00138771",4.42962251652561,3.5917632878697,1.04392741142498,1.40340732069051
"WBGene00138772",-0.185384653897447,-1.96617918122638,-3.54608476198388,-1.60215157093195
"WBGene00138773",5.39335674934548,3.00318378255006,4.70119749217741,3.83031707023645
"WBGene00138774",-0.0847942863762877,-0.57870353137251,-3.54608476198388,-1.60215157093195
"WBGene00138776",3.07119398547977,1.92915734790894,3.33982495570606,2.23797684842885
"WBGene00138778",1.03860898296689,2.50636110789975,1.51213697896511,1.33535063333514
"WBGene00138779",3.08745316318163,-2.89676418778045,-3.54608476198388,-3.54608476198388
"WBGene00138780",2.52042260868068,4.8767978108722,4.16596568629929,4.86872743023525
