"","EE-AF16_EE","EE-AF16_EEb","L2-AF16_L2","L2-AF16_L2b","L4-AF16_L4","L4-AF16_L4b","YA-AF16_YA","YA-AF16_Yab","mixed-AF16_Mx"
"WBGene00000307",7.21958150787255,7.14505910918251,7.70184294466345,7.71627609536081,7.33951831271496,7.34955229473983,7.26354779723476,6.98955197934041,4.95564683910642
"WBGene00000312",4.8285046862889,5.20371965937823,3.77249749822724,4.3219260147629,4.20923028350999,4.63466714281766,4.7826161910033,5.33782979684061,4.95564683910642
"WBGene00000324",3.63362575751431,3.58165724180582,2.00696275186426,4.26286007389838,2.93914112014224,3.54787058109742,1.82716262995656,1.62845003434631,4.95564683910642
"WBGene00000328",6.12344607953515,6.15017161605234,4.89448802260585,4.98249578952667,5.5098897616437,4.44095537718091,5.31189300766076,5.36869076054537,4.95564683910642
"WBGene00000329",3.73342636450475,4.05450234643569,2.00696275186426,3.08754181368585,2.552117997033,2.5041840467455,3.51736829070505,3.84771635469603,4.95564683910642
"WBGene00000332",5.64714133601005,5.8378027646401,11.4618788893791,9.16173740919261,11.4826279057248,9.08559185026757,8.4135054282586,8.50453283584919,6.54060933982757
"WBGene00000333",6.47871255550474,6.31872722402177,12.0668479529652,9.03318949438655,11.7707278025688,9.18659915952912,8.66394656022579,8.58698810379626,6.54060933982757
"WBGene00000343",-0.7272420266394,-1.09599715641897,-0.314965343023101,2.40362245388128,1.17360637377927,2.1810882504258,2.08368372883168,1.33894341715132,4.95564683910642
"WBGene00000365",-2.06284505842384,-2.68095965714013,2.85495965841921,-3.38819161728055,2.02160328033422,-1.67981613990854,12.4877223226726,12.4122171977697,10.6280721810779
"WBGene00023521",-1.24570911557365,-2.39145303994514,2.85495965841921,2.53305427130504,3.49553446866663,4.53307357916934,4.31953552273967,4.44410826013512,4.95564683910642
"WBGene00023523",-0.782737139231104,-0.806490539223984,-0.314965343023101,0.017800742395288,-1.1483217211081,-0.21269012948124,-1.06036264078503,-0.913443744482965,4.95564683910642
"WBGene00023525",8.64955911241812,8.90853544643028,6.74031709247809,6.11284937828538,9.60740043253419,8.76987873947641,2.5484466018905,2.05437584976789,6.54060933982757
"WBGene00023526",3.78920135391791,4.0664874208944,7.71294065354678,5.36602781585459,8.03407263229643,7.00317844377315,7.41553288164167,7.27318031990111,6.54060933982757
"WBGene00023527",7.34158694069974,7.4274195935546,5.51792467114164,5.76307867150962,3.49553446866663,4.35295889618308,4.26012203723267,3.9677602074619,4.95564683910642
"WBGene00023528",-2.75472276306151,-3.52895656369508,-0.314965343023101,-1.80322911655939,-1.1483217211081,-0.909297986031305,-1.31190140778099,-0.477344629676291,4.95564683910642
"WBGene00023529",0.203049001549195,-0.896688348195563,-0.314965343023101,-5.71011971216791,2.552117997033,1.15158425611572,1.41472224216376,0.553682265944333,4.95564683910642
"WBGene00023530",-0.7272420266394,-1.60295714513885,-0.314965343023101,-4.12515721144675,-1.1483217211081,-5.76727898115888,-3.38229073567239,-3.41594408501215,4.95564683910642
"WBGene00023533",7.89418786703232,7.81921830384048,7.839852766029,6.13576232221615,7.97321179623194,5.98468343230198,7.92820844347983,7.40023959642019,4.95564683910642
"WBGene00023536",8.12880171620427,8.10376605825907,9.55693989463609,7.66586997706199,10.0762829604304,7.63586622451092,8.85473992292516,8.62103080223058,4.95564683910642
"WBGene00023537",2.60823260008591,2.57118010759037,-0.314965343023101,2.14162932924815,0.43664077961306,0.946966536507246,-2.00377911241866,-5.0009065857333,4.95564683910642
"WBGene00023538",5.32578731754707,5.37009819249934,4.54301565210447,2.45478721450778,6.61322951133638,4.98007484831918,6.3350429637813,6.36377527013126,4.95564683910642
"WBGene00023539",2.99810815280802,3.11201134675482,2.00696275186426,2.49445143208129,2.02160328033422,1.92620797634045,-1.31190140778099,-0.357050395958579,4.95564683910642
"WBGene00023540",6.25413677150956,6.28193634819714,2.85495965841921,3.98858495460243,3.70965927401948,4.72957479622916,4.95131189259589,5.53144933955554,4.95564683910642
"WBGene00023541",8.42552113111513,8.45852063878854,6.86494374699183,7.55241562835837,8.34553372813273,7.26940978763679,7.85718845902678,7.88192748581232,6.54060933982757
"WBGene00023542",5.37574879854018,5.27646488247668,4.07735207975566,4.32467925040936,5.3274117098583,4.34255167311992,5.93104582597976,5.6829652828893,4.95564683910642
"WBGene00023543",4.74143964532057,4.4194106678896,5.9518211976718,4.70878701908999,6.78831621789447,5.14635844689023,5.0126006307702,4.85862820064935,4.95564683910642
"WBGene00023545",1.48147545779997,2.07392784502334,2.00696275186426,3.21172122490658,4.20923028350999,4.85202397425681,4.79861297350699,5.18520765380834,4.95564683910642
"WBGene00023546",-2.06284505842384,-1.60295714513885,-0.314965343023101,-3.38819161728055,2.02160328033422,-0.275425884829202,1.21464440671484,0.553682265944333,6.54060933982757
"WBGene00023547",7.1797619839325,7.52646145707391,2.00696275186426,5.62359471392606,4.96020273567007,5.23904709736606,1.59040191833188,1.59900625645382,4.95564683910642
"WBGene00023548",3.11659016230095,3.24451236421012,5.61577199453979,4.39185595878132,7.89880219100593,6.33239757370077,8.55603916925547,8.57143837006697,7.27757493399378
"WBGene00023549",2.03267755262045,1.92390240101874,-0.314965343023101,-5.71011971216791,-1.1483217211081,-5.76727898115888,-5.70421883055975,-2.67897849084594,4.95564683910642
"WBGene00023550",-6.4551624812026,-5.85088465858244,-0.314965343023101,-3.38819161728055,-1.1483217211081,-2.59735397971656,3.63785583743939,3.42954596593223,4.95564683910642
"WBGene00023552",5.22739325987771,5.17909268800714,6.60389789425149,6.05101593766074,4.73432132825374,4.6023183651198,4.11755515141082,3.90297526000288,4.95564683910642
"WBGene00023553",0.802225361490052,0.917299666194489,3.38547437511799,2.58908830621937,2.02160328033422,-0.152569137043669,-0.277954075857652,-0.246019083569836,4.95564683910642
"WBGene00023554",3.677979731198,3.67463615051263,7.9186543337366,7.59750803508922,7.38695365551271,7.07015184906244,7.38969385310581,7.31904772495364,4.95564683910642
"WBGene00023555",6.53227919173352,6.63519614406953,6.62754916231614,6.60474671888527,5.67185724130709,5.75775236396512,6.25614517831808,6.52998739546062,4.95564683910642
"WBGene00023556",-0.963309384872925,-1.09599715641897,2.85495965841921,2.97287487151377,3.70965927401948,2.56811137353505,2.65772494317549,2.36541562851251,4.95564683910642
"WBGene00023557",0.684388871196194,0.0798526789804484,2.00696275186426,1.34516272333328,-1.1483217211081,0.946966536507246,0.92513778951986,1.4084843504044,4.95564683910642
"WBGene00023558",-6.4551624812026,-5.85088465858244,-0.314965343023101,-1.06626352239319,-1.1483217211081,0.832633861028251,1.09019703579036,1.18891797314671,4.95564683910642
"WBGene00023559",2.20661561656939,2.47554482853987,-0.314965343023101,0.398404744610258,-1.1483217211081,-3.44535088627151,-1.31190140778099,-1.30046686759221,4.95564683910642
"WBGene00023560",0.724746608812335,0.558506277555264,-0.314965343023101,0.017800742395288,-1.1483217211081,-3.44535088627151,-3.38229073567239,-0.357050395958579,4.95564683910642
"WBGene00023562",5.0451814880678,4.93293210073774,7.33608634815583,6.00712829365973,7.34753330577908,6.30451854112533,4.22503957807722,3.99627289520432,4.95564683910642
"WBGene00023564",1.30638875124188,1.3290244314325,5.61577199453979,5.74674802621243,6.47373009834828,6.03402520489015,6.69372314141289,6.53388262574696,4.95564683910642
"WBGene00023565",-3.28523747976029,-2.39145303994514,-0.314965343023101,-0.580836695222944,2.02160328033422,2.0969071634954,1.0372481558414,1.4084843504044,4.95564683910642
"WBGene00023566",-2.36769963995226,-5.85088465858244,-0.314965343023101,1.13537033877646,3.24399570167066,2.24952930652768,1.41472224216376,1.18891797314671,4.95564683910642
"WBGene00023569",6.93191243810462,6.93231823148195,7.54922080163118,8.44793765766709,7.59651211639145,6.68933211841604,5.44107650437385,5.1950807122952,4.95564683910642
"WBGene00023570",-2.75472276306151,-3.04352973652483,-0.314965343023101,-0.665725592809458,-1.1483217211081,-2.06683926301778,-3.38229073567239,-5.0009065857333,4.95564683910642
"WBGene00023571",3.32127055124213,3.53497774205902,2.85495965841921,4.71719313196705,3.24399570167066,5.34841497103813,5.7699941066342,5.7812726080979,4.95564683910642
"WBGene00023572",-1.59718148607503,-0.806490539223984,-0.314965343023101,-0.665725592809458,-1.1483217211081,2.82143565442339,0.485605728320267,-0.357050395958579,4.95564683910642
"WBGene00023573",1.90678129253264,2.13210891611187,6.82458600937569,5.50480647577452,5.04150283777192,6.43392602614065,5.34902829535268,5.24583401275984,4.95564683910642
"WBGene00023574",1.10707994301847,1.01948006100097,-0.314965343023101,3.87672007579392,1.17360637377927,2.47589500231407,-0.212365734230075,0.208546779895645,4.95564683910642
"WBGene00023575",1.75915663959817,1.84260229891689,5.04258666159498,4.99982566806459,3.70965927401948,7.00647839098092,5.47879617032301,5.4222093244138,4.95564683910642
"WBGene00023576",0.510621803459488,0.943531207767668,4.07735207975566,3.87672007579392,-1.1483217211081,2.68804823914568,1.16614588902365,0.976373337766612,4.95564683910642
"WBGene00023577",-2.36769963995226,-3.52895656369508,2.85495965841921,3.43198734513464,2.93914112014224,5.23764369741017,2.58580001637287,2.56133583848777,4.95564683910642
"WBGene00023578",-2.75472276306151,-2.39145303994514,-0.314965343023101,-1.31780228938915,-1.1483217211081,-3.44535088627151,-3.38229073567239,-5.0009065857333,4.95564683910642
"WBGene00023579",4.02158372273687,3.94515495024733,-0.314965343023101,3.11324752787832,3.24399570167066,5.3155353565134,3.71994745825835,3.59528317041111,4.95564683910642
"WBGene00023580",3.98466840277879,3.86164234185739,6.50521361939209,7.01076579142581,3.70965927401948,3.98593776802008,2.56724419734462,1.91795665154129,4.95564683910642
"WBGene00023581",4.40669985885655,4.31024722440187,2.00696275186426,4.2161762826132,-1.1483217211081,3.45430814010593,1.53418590876533,1.68559394144991,4.95564683910642
"WBGene00023582",-0.840452637087391,-1.94399406297392,2.00696275186426,3.05475187856818,2.02160328033422,1.28800345434231,0.318148982468704,0.128376431211662,4.95564683910642
"WBGene00023583",2.44268297480291,2.06200467764752,-0.314965343023101,0.122770301996831,-1.1483217211081,0.341245475619292,-1.45629131711616,-2.67897849084594,4.95564683910642
"WBGene00023584",3.99501776596215,3.93211355033798,2.85495965841921,3.80360788378453,-1.1483217211081,4.23974828573509,2.15996731409453,2.57652224230244,4.95564683910642
"WBGene00023585",3.6805468049018,3.52632587180611,9.52581258057195,7.55358962499798,8.85308647328471,6.44612905969946,5.7433810277202,5.53144933955554,4.95564683910642
"WBGene00023586",6.38147966782325,6.33182005193653,6.5553993765603,7.04997645707618,7.12314130679628,6.23518445773366,6.0087379911378,5.65104202499014,4.95564683910642
"WBGene00023587",1.89798434429548,2.04998214939831,2.00696275186426,3.65838674933978,2.02160328033422,3.8891458821189,2.91416667169886,2.76064464671117,4.95564683910642
"WBGene00023588",0.764006039259562,0.0798526789804484,-0.314965343023101,0.479704846712106,-1.1483217211081,-0.557825615529927,-3.38229073567239,-1.30046686759221,4.95564683910642
"WBGene00023589",0.203049001549195,0.126395264917479,-0.314965343023101,3.79569184175168,-1.1483217211081,2.1575335224469,-0.212365734230075,-0.752979072289719,4.95564683910642
"WBGene00023591",7.6949814518593,7.61072268153133,8.18088968386407,6.72581093953568,7.12314130679628,5.68753436735365,5.2331549896324,5.13736521443892,4.95564683910642
"WBGene00023592",1.85317654893681,2.02563228798256,5.29974450109211,3.37468867563645,4.06113164452085,-0.481876762296629,-0.574935813614784,-1.54147496709601,4.95564683910642
"WBGene00023593",4.32865427811758,4.48338862672475,3.38547437511799,3.46729982582133,4.20923028350999,2.66317357050665,2.09668106936055,2.01032066968995,4.95564683910642
"WBGene00023594",5.98544718554582,6.06835112744591,4.72942877633535,4.34922474865651,2.02160328033422,3.8638980745451,2.46068809611594,2.09712549722722,4.95564683910642
"WBGene00023596",6.37950607648826,6.56089111699409,10.0654957220659,8.01726899087222,9.93449261656418,5.86798567538064,6.74827982713304,6.81647684216393,4.95564683910642
