"","EE-PB2801_EE","L4-PB2801_L4","YA_female-PB2801_YAF","YA_male-PB2801_YAM"
"WBGene00138726",-2.07010876143673,1.09017959713992,-0.0172538497096605,-0.866447816326233
"WBGene00138727",-1.02280304665837,0.407152810084514,-1.49118503804207,2.80911723317583
"WBGene00138728",2.51084067677781,-1.31663739533396,-4.66111003948439,-4.03637281776855
"WBGene00138729",4.82793831500666,-6.36103151469241,-4.66111003948439,-4.03637281776855
"WBGene00138731",-5.97699935704525,0.778519837706381,-4.66111003948439,-2.45141031704739
"WBGene00138732",3.1651077002573,-2.66059179655132,3.38873850996618,1.00802130158991
"WBGene00138733",-5.97699935704525,-0.338663701663958,-4.66111003948439,5.05902420502401
"WBGene00138734",-1.88953651579491,1.80387541198328,-1.20167842084709,-1.71444472288118
"WBGene00138737",3.28744324318136,4.42442095346613,2.51879905053055,4.79967753728952
"WBGene00138739",1.75771026318059,0.737000568268114,0.696441965133698,0.21155469567504
"WBGene00138742",-5.97699935704525,-1.60614401252894,1.71392939186254,-0.576941199131248
"WBGene00138743",4.23610486259666,5.81981005087425,5.18594730660695,6.65449819152377
"WBGene00138744",6.61101249616984,2.28642691176251,4.31902953815477,3.46347306931466
"WBGene00138746",6.99759448293643,7.27479994931948,7.18712166160943,7.0544012368722
"WBGene00138747",6.61428922220084,3.6205357672106,3.78597318672527,3.20203192155653
"WBGene00138748",-3.65507126215788,4.76114938656734,6.32402033398251,6.03106154298798
"WBGene00138749",-4.39203685632409,1.56378098891337,-4.66111003948439,3.31235533646253
"WBGene00138751",5.17211263366164,4.2040705636679,4.25476933935139,3.57095749598107
"WBGene00138752",5.53722155231288,8.24160936302512,9.54093723864817,8.2750916976799
"WBGene00138753",1.56989510284239,4.29091709603103,1.31616988401553,1.98599499525991
"WBGene00138754",-1.33314316727052,-3.1911065132501,0.696441965133698,1.1730805478604
"WBGene00138755",7.81670554689924,5.13931245457799,7.49275861573885,7.76573960081752
